Show Name	Keyword	minp	maxp	tag
Beautiful Bridal Dresses	beautiful bridal dresses	0		Bridal Gowns
Beautiful Bridal Gowns	beautiful bridal gowns	0		Bridal Gowns
Beautiful Evening Dresses	beautiful evening dresses	0		Evening Dresses
Beautiful Party Dresses	beautiful party dresses	0		Party Dresses
Beautiful Quinceanera Dresses	beautiful quinceanera dresses	0		Quinceanera Dresses
Best Bridal Dresses	best bridal dresses	0		Bridal Gowns
Best Bridal Gowns	best bridal gowns	0		Bridal Gowns
Best Club Dresses	best club dresses	0		Club Dresses
Best Cocktail Dresses	best cocktail dresses	0		Cocktail Dresses
Best Evening Dresses	best evening dresses	0		Evening Dresses
Best Little Black Dress	best little black dress	0		Little Black Dresses
Best Mother of the Bride Dresses	best mother of the bride dresses	0		Mother of the Bride Dresses
Best Party Dresses	best party dresses	0		Party Dresses
Best Quinceanera Dresses	best quinceanera dresses	0		Quinceanera Dresses
Bonny Bridal Dresses	bonny bridal dresses	0		Bridal Gowns
Bridesmaid Dresses Modest	bridesmaid dresses modest	0		Bridesmaid Dresses;Modest
Casual Party Dresses	casual party dresses	0		Party Dresses;Casual
Chic Bridesmaid Dresses	chic bridesmaid dresses	0		Bridesmaid Dresses
Classic Bridal Gowns	classic bridal gowns	0		Bridal Gowns;Classic
Classy Bridesmaid Dresses	classy bridesmaid dresses	0		Bridesmaid Dresses
Classy Club Dresses	classy club dresses	0		Club Dresses
Classy Evening Dresses	classy evening dresses	0		Evening Dresses
Classy Prom Dresses	classy prom dresses	0		Cocktail Dresses
Cocktail Formal Dresses	cocktail formal dresses	0		Cocktail Dresses
Cool Wedding Dresses	cool wedding dresses	0		Bridal Gowns
Elegant Bridal Gowns	elegant bridal gowns	0		Bridal Gowns;Elegant
Elegant Cocktail Dress	elegant cocktail dress	0		Cocktail Dresses;Elegant
Elegant Dresses for Wedding Guests	elegant dresses for wedding guests	0		Wedding Guest Dresses;Elegant
Elegant Evening Dress	elegant evening dress	0		Evening Dresses;Elegant
Elegant Party Dresses	elegant party dresses	0		Party Dresses;Elegant
Evening Formal Gown	evening formal gown	0		Evening Dresses
Evening Formal Gowns	evening formal gowns	0		Evening Dresses
Fashion Party Dresses	fashion party dresses	0		Party Dresses;Modern
